FrageNr.	ThNr.	Sachgebiet	Klasse	BildNr.	ZusFr.	Frage	AKZ1	Antwort1	AKZ2	Antwort2	AKZ3	Antwort3	AKZ4	Antwort4
1	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			In welchem Drehzahlbereich des Motors fährt man mit den besten Verbrauchswerten?		Bei Leerlaufdrehzahl		Im am Drehzahlmesser gelb gekennzeichneten Bereich		Im am Drehzahlmesser rot gekennzeichneten Bereich	X	Im am Drehzahlmesser grün gekennzeichneten Bereich
2	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Sie befahren eine Steigung. Wann müssen Sie bei Fahrzeugen mit manuellem Schaltgetriebe zurückschalten?		Wenn die Drehzahl auf die Leerlaufdrehzahl abgesunken ist	X	Wenn die Motordrehzahl trotz Vollgas unter den "grünen Bereich" des Drehzahlmessers fällt		Wenn der Motor stark zu vibrieren beginnt		Wenn die Motordrehzahl bei Vollgas in den "gelben Bereich" des Drehzahlmessers steigt
3	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Welche Folgen für das Drehmoment hat es, wenn mit einer Motordrehzahl außerhalb des "grünen Bereiches" gefahren wird?		Das Drehmoment steigt an	X	Das Drehmoment fällt ab		Das Drehmoment bleibt annähernd gleich		Das Drehmoment fällt ab und steigt dann wieder an
4	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Welche Folgen für den Kraftstoffverbrauch hat es, wenn mit einer Motordrehzahl außerhalb des "grünen Bereiches" gefahren wird?	X	Der Kraftstoffverbrauch steigt an		Der Kraftstoffverbrauch fällt ab		Der Kraftstoffverbrauch bleibt annähernd gleich		Der Kraftstoffverbrauch fällt ab und steigt dann wieder an
5	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Wodurch kann eine Verminderung der schädlichen Anteile im Abgas eines Dieselmotors erzielt werden?		Durch Nachbehandlung der Abgase mit Wasserstoff	X	Durch einen SCR-Katalysator und Zuführung von "AdBlue"		Durch Beimengung von Benzin zum Dieselkraftstoff		Durch Nachbehandlung der Abgase mit Stickstoff
6	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Welche Motorarten werden bei Nutzfahrzeugen hauptsächlich eingesetzt?		Ottomotor	X	Dieselmotor		Wasserstoffmotor		Elektromotor
7	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Am Armaturenbrett Ihres Fahrzeuges befindet sich ein Drehzahlmesser. Wofür steht das grüne Kennfeld?		Für das niedrigste Drehmoment des Motors		Für die höchste Leistung des Motors		Für optimale Bodenhaftung	X	Für den spezifisch geringsten Kraftstoffverbrauch des Motors
8	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Am Armaturenbrett Ihres Fahrzeuges befindet sich ein Drehzahlmesser. Was zeigt das rote Kennfeld an?		Die niedrigste Leistung des Motors		Das geringste Drehmoment des Motors		Das höchste Drehmoment des Motors	X	Den Drehzahlbereich, in dem der Motor nicht betrieben werden soll
9	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Warum soll der Motor im "grünen Bereich" des Drehzahlmessers betrieben werden?	X	Um den geringsten spezifischen Kraftstoffverbrauch des Motors zu nutzen		Um den höchsten spezifischen Kraftstoffverbrauch des Motors zu erzielen		Um den Ölverbrauch des Motors gering zu halten		Um eine möglichst gleichmäßige Abnutzung der Reifen zu erzielen
10	1	1a Kinematische Kette	C1.C1E.C.CE / D1.D1E.D.DE			Wodurch kann eine Verminderung der schädlichen Anteile im Abgas eines Dieselmotors erzielt werden?		Durch Nachbehandlung der Abgase mit Wasserstoff	X	Durch Abgasrückführung in Kombination mit einem Dieselpartikelfilter		Durch Beimengung von Benzin zum Dieselkraftstoff		Durch Nachbehandlung der Abgase mit Stickstoff
31	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welche Vorteile hat es, dass die Federspeicherbremsanlage durch Entlüften eingebremst wird?		Das Fahrzeug kann nicht entwendet werden		Das Fahrzeug kann auch ohne Druckluft verwendet werden	X	Das Fahrzeug bleibt auch bei einem Luftverlust in den Vorratsbehältern eingebremst		Der Druckluftverbrauch ist geringer als beim Belüften der Radbremszylinder
32	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie lenken ein vollbeladenes Fahrzeug. Welche Handlungen schaden der Lenkung?		Zu langsames Fahren auf schlechten Straßen	X	Lenken am Stand		Einschlagen der Vorderräder während der Fahrt		Längere Fahrten mit hohem Tempo auf der Autobahn
33	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welches Bremssystem ist bei schweren Nutzfahrzeugen als Betriebsbremse in der Regel eingebaut?		Eine reine Flüssigkeitsbremsanlage	X	Eine Druckluftbremsanlage		Eine elektrische Bremsanlage		Eine Auflaufbremsanalage
34	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Wozu dient das Entwässerungsventil an den Vorratsbehältern einer Druckluftbremsanlage?	X	Damit die Funktionstüchtigkeit eines Lufttrockners überprüft werden kann		Um einen zu geringen Druck in der Anlage ablassen zu können		Um im Pannenfall den Federspeicherbremszylinder lösen zu können		Um bei Ausfall der Druckluftversorgung die Anlage fremdbelüften zu können
35	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Das Aufpumpen der Vorratsbehälter einer Druckluftbremsanlage dauert wesentlich länger als gewöhnlich. Was kann die Ursache dafür sein?		Zu hohe Luftfeuchtigkeit im Sommer		Geringe Lufttemperatur im Winter		Kondenswasser in den Vorratsbehältern	X	Undichtheiten im Vorratssystem
36	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Ihr Fahrzeug hat eine Druckluftbremsanlage. Woran erkennen Sie einen Tristopzylinder?		Am Bremsgestänge		Er hat drei Zuleitungen	X	Er hat zwei Zuleitungen		Er hat drei getrennte Zylinder
37	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Der Vorratsdruck einer Druckluftbremsanlage fällt bei einer Vollbremsung um mehr als 0,7 bar ab. Welche Ursache kann dies haben?	X	Undichtheit in den Bremskreisen		Undichtheit in den Vorratskreisen		Der Kompressor liefert zu wenig Luft		Eine Überladung einer Fahrzeugachse
38	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren mit einem voll beladenen Fahrzeug in einem längeren Gefälle. Wie können Sie die Wirkung der Verlangsameranlage verstärken?	X	Durch Zurückschalten auf einen niedrigen Getriebegang		Durch Hochschalten auf einen höheren Getriebegang		Durch ständiges Betätigen der Betriebsbremsanlage		Durch vorsichtiges Betätigen der Feststellbremsanlage
39	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Die Warnleuchte für den Druckluftvorrat der Bremsanlage leuchtet auf. Was bedeutet das?	X	Der Vorratsdruck ist stark abgesunken		Der Vorratsdruck ist stark angestiegen		Der Feuchtigkeitsgehalt der Druckluft ist zu hoch		Die Kartusche am Lufttrockner muss getauscht werden
40	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Die Warnleuchte für den Druckluftvorrat leuchtet auf. Wie verhalten Sie sich?		Ich halte an und aktiviere den Fremdbelüftungsanschluss		Ich fahre weiter und beobachte die Warnleuchte		Ich fahre weiter und beobachte die Druckmanometer	X	Ich halte an und sehe in der Betriebsanleitung nach, was zu tun ist
41	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Ihr Fahrzeug hat einen technischen Defekt an der Druckluftbremsanlage. Die Federspeicherbremse kann wegen eines zu geringen Vorratsdrucks nicht mehr gelöst werden. Was müssen Sie tun, um das Fahrzeug abschleppen zu können?	X	Ich muss den Federspeicher mechanisch oder durch Fremdbelüften lösen		Nichts, weil das Fahrzeug immer abgeschleppt werden kann		Ich muss die Antriebsräder abmontieren		Ich muss die Zuluftleitung am Federspeicherbremszylinder abschließen
42	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Womit können Sie die Wirkung einer Motorstaubremse abstufen?	X	Mit einem Hebel an der Lenksäule oder einem Schalter am Armaturenbrett		Mit dem Fußbremspedal		Mit einem Druckschalter am Schalthebel		Mit dem Handbremsventil
43	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie befahren mit Ihrem voll beladenen Fahrzeug eine längere Gefällestrecke. Welche Gefahr besteht, wenn Sie dabei durchgehend die Betriebsbremse verwenden?	X	Die Radbremsen können überhitzen und ausfallen		Es besteht keine Gefahr		Der Druckluftvorrat kann überhitzen		Die Räder können durch überhitzte Druckluft blockieren
44	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie befahren mit Ihrem Fahrzeug eine längere Gefällestrecke. Welche Bremse sollten Sie überwiegend verwenden?		Die Betriebsbremse	X	Die Verlangsameranlage		Die Feststellbremse		Die Hilfsbremse
